Name,Date of First Email Sent,Day of First Email Sent,Date of First Received Email,Date of Last Interaction,Current Stage,Previous Stage,Stages (Grouped),Response,State,Region,Tuition,Role,Grade,Financial Aid %,Sent Email Count,Received Email Count,Date Created,Outreach Type,Last Email From,# of families that we connected',Calls,Newsletter?
Shelton School,2024/03/29 11:11 PM,Friday,2024/05/21 1:02 PM,2024/06/14 9:39 AM,Blocked,"Blocked, Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,30 - 35K,Guidance Counselor,,13,10,5,2024/03/29 6:09 AM,,abaker@shelton.org,,,Sent
St. Luke's Episcopal School,2024/03/29 11:02 PM,Friday,2024/06/09 1:36 AM,2024/06/14 9:42 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,20 - 25K,Director of Teaching and Learning,,20,7,2,2024/03/29 6:09 AM,,mailer-daemon@googlemail.com,,,Sent
St. Rita Catholic School,2024/04/08 11:34 PM,Monday,2024/04/08 11:34 PM,2024/04/12 8:10 AM,Blocked,"Blocked, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,TX,South,15 - 20K,Middle School Counselor,,,2,2,2024/04/06 7:16 AM,,bedwards@strita.net,,,
The Newman School,2023/11/02 1:05 AM,Thursday,2024/07/03 11:20 PM,2024/07/03 8:20 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,MA,Northeast,25 - 30K,Student Success Specialist,,,15,1,2023/11/01 9:36 AM,,mailer-daemon@googlemail.com,,,Sent
Tilton School,2024/03/23 1:05 AM,Saturday,2024/03/23 1:05 AM,2024/07/05 10:23 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,NH,Northeast,35 - 40K,"School Counselor, 9th Grade Program Instructor",,Borading 67k,7,2,2024/03/22 6:33 AM,,mailer-daemon@googlemail.com,,,Sent
Ventures Academy,2024/04/15 11:44 PM,Monday,2024/04/17 12:30 AM,2024/05/09 12:33 PM,Blocked,"Blocked, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,WA,West,35 - 40K,Head of School & President,,,3,9,2024/04/13 5:02 AM,,mailer-daemon@googlemail.com,,,
Villanova Preparatory School,2023/11/07 12:01 AM,Tuesday,2024/07/03 11:21 PM,2024/07/03 8:21 AM,Blocked,"Received Summer Drip, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,CA,West,20 - 25K,School Counselor,,,14,1,2023/10/27 9:26 AM,,mailer-daemon@googlemail.com,,,Sent
Waldorf School of Baltimore,2024/04/29 11:12 PM,Monday,2024/04/29 11:12 PM,2024/04/29 8:12 AM,Blocked,"Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,MD,South,15 - 20K,Educational Support Specialist,,40,1,1,2024/04/27 8:36 AM,,mailer-daemon@googlemail.com,,,
White Mountain School,2024/03/23 1:06 AM,Saturday,2024/07/06 1:19 AM,2024/07/05 10:19 AM,Blocked,"Received Summer Drip, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",No reach,NH,Northeast,30 - 35K,School Counselor,,48,9,1,2024/03/22 6:33 AM,,mailer-daemon@googlemail.com,,,Sent
Esprit International School,2024/03/29 11:07 PM,Friday,2024/04/03 3:18 AM,2024/07/02 9:55 AM,Called but no answer,"Scheduled phone call, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,TX,South,20 - 25K,School Counselor,,,15,3,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,
Friends Select School,2024/01/10 12:09 AM,Wednesday,2024/01/10 12:39 AM,2024/07/02 9:51 AM,Called but no answer,"Scheduled phone call, Will call (unresponsive 2x), Contact Later, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,PA,Northeast,45 - 50K,Upper School Learning Specialist,,38%,20,2,2024/01/09 5:24 AM,,precious@efcoachtutors.com,,,
Grayson School,2024/01/16 11:39 PM,Tuesday,2024/01/23 2:39 AM,2024/07/02 9:54 AM,Called but no answer,"Scheduled phone call, Contact Later, Will call (unresponsive 2x), Called but no answer, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,PA,Northeast,35 - 40K,School Counselor,,33%,24,5,2024/01/15 4:09 PM,,precious@efcoachtutors.com,,,
St. Mark Lutheran School,2024/03/29 11:08 PM,Friday,2024/04/05 2:41 AM,2024/07/02 9:51 AM,Called but no answer,"Scheduled phone call, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,TX,South,15 - 20K,Director of Academics,,19,12,3,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Awty,2023/11/02 1:05 AM,Thursday,2023/11/02 2:52 AM,2024/07/02 9:54 AM,Connected us with families,Connected us with families,"New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,TX,South,30 - 35K,Learning Support Specialist,preschool-12,8%,22,10,2023/11/01 9:36 AM,,precious@efcoachtutors.com,,,Sent
Beacon Academy,2023/11/07 12:10 AM,Tuesday,2023/11/07 1:49 AM,2024/07/02 9:51 AM,Connected us with families,"Engaged, Sent Intro MM, Imported, Connected us with families","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,IL,Midwest,20 - 25K,Learning Resources & Support Specialist,9-12,,26,17,2023/11/03 1:58 PM,,precious@efcoachtutors.com,3,,Unsubcribe
Bishop O'Dowd,2024/04/09 11:30 PM,Tuesday,,2024/07/02 9:54 AM,Connected us with families,Connected us with families,Outreached our Services,Responded,CA,West,25 - 30K,"Director of Academic Support, Summer Academy Director. Career Counselor, Academic Support Liaison",9-12,30,18,0,2024/01/26 10:32 AM,,jdiskin@bishopodowd.org,,,Sent
Catherine Cook School,2024/03/02 11:35 PM,Saturday,2024/03/06 9:29 AM,2024/07/02 9:52 AM,Connected us with families,"Shared/will share our info with families, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Outreached our Services",Responded,IL,Midwest,30 - 35K,Lower & Middle School Learning Specialist,preschool-8,16,25,8,2024/02/29 12:23 PM,,precious@efcoachtutors.com,,,Sent
JCHS,2024/01/27 2:58 AM,Saturday,,2024/07/02 9:55 AM,Connected us with families,Connected us with families,Outreached our Services,Responded,CA,West,60 - 65K,Director of Learning Support,9-12,,22,0,2024/01/26 10:28 AM,,dneufeld@jchsofthebay.org,,,Sent
Linden Hall,2024/01/16 11:44 PM,Tuesday,2024/02/06 1:15 AM,2024/07/02 9:53 AM,Connected us with families,"Shared/will share our info with families, Engaged, Scheduled phone call, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,PA,Northeast,25 - 30K,Counselor,6-12,38%,30,7,2024/01/15 4:09 PM,,precious@efcoachtutors.com,,Discovery chat,Sent
Montrose School,2024/03/08 11:46 PM,Friday,2024/03/15 1:38 AM,2024/07/02 9:54 AM,Connected us with families,"Shared/will share our info with families, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,MA,Northeast,35 - 40K,Dean of Students,6-12,40,37,15,2024/03/07 11:35 AM,,lderendorf@montroseschool.org,,,Sent
Mountain View Academy,2023/11/02 1:05 AM,Thursday,2024/01/13 4:32 AM,2024/07/02 9:53 AM,Connected us with families,"Shared/will share our info with families, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,CA,West,20 - 25K,Principal,9-12,,32,10,2023/10/27 9:26 AM,,precious@efcoachtutors.com,,,Sent
Rowland Hall,2024/04/29 11:08 PM,Monday,2024/04/30 12:06 AM,2024/07/02 9:54 AM,Connected us with families,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,UT,West,30 - 35K,Director of Learning Services,preschool-12,21,21,9,2024/04/27 8:36 AM,,karenhowell@rowlandhall.org,,,Sent
SHCP,2024/04/09 11:30 PM,Tuesday,,2024/07/02 9:54 AM,Connected us with families,,Outreached our Services,Responded,CA,West,25 - 30K,"Director of Student Support Services, Piro Scholars Program College Advisor",9-12,350 families,29,0,2024/01/26 10:32 AM,,precious@efcoachtutors.com,,Discovery chat,Sent
St. Agnes,2023/11/02 1:05 AM,Thursday,2023/11/08 2:19 AM,2024/07/02 9:54 AM,Connected us with families,"Connected us with families, Scheduled phone call","Warm Leads, Outreached our Services",Responded,TX,South,20 - 25K,Learning Support Specialist,9-12,20,49,22,2023/11/01 9:36 AM,,precious@efcoachtutors.com,,,Sent
St. John's Episcopal School,2024/04/29 11:06 PM,Monday,2024/05/03 12:42 AM,2024/07/02 9:51 AM,Connected us with families,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,MD,South,20 - 25K,School Counselor,preschool-8,36,8,4,2024/04/27 8:36 AM,,marissa.fried@stjes.org,,,Sent
St. Luke School,2024/04/08 11:14 PM,Monday,2024/04/11 12:32 AM,2024/07/02 9:54 AM,Connected us with families,"Shared/will share our info with families, Scheduled phone call, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,WA,West,10 - 15K,Learning Resource Director,preschool-8,25,13,4,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,Discovery chat,Sent
Woodside Priory School,2024/04/09 11:34 PM,Tuesday,,2024/07/02 9:52 AM,Connected us with families,,Outreached our Services,Responded,CA,West,55 - 60K,Director of Learning Support,6-12,20,12,0,2024/01/26 10:27 AM,,ttwedt@prioryca.org,,,Sent
Blake School,2024/04/29 11:13 PM,Monday,2024/05/03 3:48 AM,2024/07/02 9:55 AM,Contact Later,"Shared/will share our info with families, Contact Later, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,MN,Midwest,25 - 30K,Director of Learning Support,,24,12,4,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,Discovery chat,
Duchesne Academy of the Sacred Heart,2023/11/15 12:30 AM,Wednesday,2024/01/19 12:18 PM,2024/07/02 9:52 AM,Contact Later,"Blocked, Sent Intro MM, Imported, Received Summer Drip","New Contacts, Sent Mail Merges, Blocked/Unsubscribe",Responded,NE,Midwest,15 - 20K,Academic Success Coordinator,,42,10,2,2023/11/13 11:00 PM,,precious@efcoachtutors.com,,,Sent
Glenelg Country School,2024/04/22 11:44 PM,Monday,2024/04/22 11:44 PM,2024/07/02 5:05 PM,Contact Later,"Blocked, Ghosted, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive, Blocked/Unsubscribe",Responded,MD,South,35 - 40K,Middle School Director of Academic Support,,48,16,7,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Inspire Academy,2024/04/08 11:33 PM,Monday,2024/06/15 1:15 AM,2024/07/02 9:53 AM,Contact Later,"Engaged, Sent Unresponsive -- Intro, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,TX,South,15 - 20K,Head fo School,,,11,1,2024/04/06 7:16 AM,,precious@efcoachtutors.com,,,
Intermountain Christian School,2024/04/29 11:13 PM,Monday,2024/05/04 2:44 AM,2024/07/02 9:53 AM,Contact Later,"Sent Intro MM, Imported","New Contacts, Sent Mail Merges",Responded,UT,West,10 - 15K,Dean of Middle and High School,,25,8,2,2024/04/27 8:36 AM,,precious@efcoachtutors.com,,,
Kansas City Academy,2024/05/06 11:34 PM,Monday,2024/05/11 5:01 AM,2024/07/02 9:54 AM,Contact Later,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,MO,Midwest,15 - 20K,Counselor,,35,21,6,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Morning Star Catholic School,2024/02/24 8:07 AM,Saturday,2024/03/01 3:05 AM,2024/07/02 9:53 AM,Contact Later,"Sent Intro MM, Imported","New Contacts, Sent Mail Merges",Responded,FL,South,15 - 20K,Principal,,,8,1,2024/02/22 12:26 PM,,precious@efcoachtutors.com,,,Sent
Orangewood Christian School,2024/02/16 11:32 PM,Friday,2024/02/16 11:32 PM,2024/07/02 9:53 AM,Contact Later,,"New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,FL,South,15 - 20K,Academic & College Advisor,,25,19,10,2024/02/15 1:55 PM,,hshaffer@ocsrams.org,,,Sent
Pembroke Hill School,2024/05/06 11:30 PM,Monday,2024/05/28 10:14 PM,2024/07/02 9:53 AM,Contact Later,"Engaged, Sent Intro MM, Imported, Received Summer Drip","New Contacts, Sent Mail Merges, Warm Leads",Responded,MO,Midwest,25 - 30K,Middle School Counselor,,25,15,6,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Rumson Country Day School,2024/04/22 11:39 PM,Monday,2024/04/27 1:31 AM,2024/07/02 9:54 AM,Contact Later,"Connected us with families, Engaged, Shared/will share our info with families, Ghosted, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services, Became Unresponsive",Responded,NJ,Northeast,30 - 35K,School Counselor,,17,21,5,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Sacramento Country Day School,2024/05/06 11:31 PM,Monday,2024/05/11 1:53 AM,2024/07/02 9:54 AM,Contact Later,"Engaged, Shared/will share our info with families, Sent Intro MM, Imported, Received Summer Drip","New Contacts, Sent Mail Merges, Warm Leads, Outreached our Services",Responded,CA,West,30 - 35K,Middle & High School Learning Specialist,,30,19,4,2024/05/06 4:53 AM,website,precious@efcoachtutors.com,,Discovery chat,
Soundview School,2024/04/15 11:44 PM,Monday,2024/04/20 2:09 AM,2024/07/02 9:55 AM,Contact Later,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,WA,West,15 - 20K,"School Counselor; Diversity, Equity, and Inclusion Coordinator",,,24,5,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
St. John Vianney Regional High School,2024/04/15 11:40 PM,Monday,2024/04/16 12:39 AM,2024/07/02 9:52 AM,Contact Later,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,NJ,Northeast,15 - 20K,Director of Guidance Services,,,10,4,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,Sent
The Nueva School,2023/11/07 12:14 AM,Tuesday,2024/04/08 10:38 PM,2024/07/10 11:56 AM,Contact Later,"Received Summer Drip, Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,CA,West,50 - 55K,Upper School Learning Specialist,,,32,4,2023/11/03 1:58 PM,,precious@efcoachtutors.com,,,Sent
Winston School,2024/03/29 11:09 PM,Friday,2024/04/02 10:13 PM,2024/07/02 9:53 AM,Contact Later,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads",Responded,TX,South,20 - 25K,Guidance Director,,37,13,3,2024/03/29 6:09 AM,,precious@efcoachtutors.com,,,Sent
Academy of the Holy Cross,2024/04/22 11:33 PM,Monday,2024/05/22 2:18 AM,2024/06/26 8:17 AM,Ghosted,"Engaged, Sent Intro MM, Imported, Received Summer Drip","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,MD,South,30 - 35K,Learning Specialist,,,12,1,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
Academy Schools,2024/04/15 11:38 PM,Monday,2024/04/21 2:50 AM,2024/06/26 8:22 AM,Ghosted,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,WA,West,20 - 25K,"Art Teacher, Student Support Specialist",,25,12,1,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Bergen Catholic High School,2024/04/15 11:34 PM,Monday,2024/04/15 11:53 PM,2024/06/26 8:19 AM,Ghosted,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,NJ,Northeast,15 - 20K,Guidance Counselor,,28,9,2,2024/04/13 5:02 AM,,precious@efcoachtutors.com,,,
Co-op School,2024/03/08 11:43 PM,Friday,2024/03/13 12:51 AM,2024/06/26 8:17 AM,Ghosted,"Shared/will share our info with families, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Outreached our Services, Became Unresponsive",Responded,NY,Northeast,30 - 35K,Learning Specialist,,20,11,2,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
East Woods School,2024/03/08 11:36 PM,Friday,2024/03/15 1:51 AM,2024/06/26 8:17 AM,Ghosted,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,NY,Northeast,30 - 35K,Learning Specialist,,45,13,2,2024/03/07 11:35 AM,,precious@efcoachtutors.com,,,Sent
Fulton School,2024/05/06 11:32 PM,Monday,2024/05/13 8:49 PM,2024/06/26 8:18 AM,Ghosted,"Engaged, Sent Intro MM, Imported","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,MO,Midwest,20 - 25K,Learning Center Director,,,10,1,2024/05/06 4:53 AM,,precious@efcoachtutors.com,,,
Garrison Forest School,2024/04/22 11:02 PM,Monday,2024/05/22 6:32 AM,2024/06/26 8:18 AM,Ghosted,"Engaged, Sent Intro MM, Imported, Received Summer Drip","New Contacts, Sent Mail Merges, Warm Leads, Became Unresponsive",Responded,MD,South,35 - 40K,"Upper School Digital Learning Specialist, Computer Science Instructor",,Boarding 70K,10,1,2024/04/20 6:38 AM,,precious@efcoachtutors.com,,,
